date,store_id,product_id,units_sold,price,is_weekend,is_payday,load_shedding_stage
2023-01-01,JHB_01,BREAD,25,13.668695797323275,True,False,2
2023-01-01,JHB_01,MILK,28,13.12037280884873,True,False,1
2023-01-01,JHB_01,RICE,41,19.18497783931734,True,False,0
2023-01-01,CPT_01,BREAD,41,24.16145155592091,True,False,1
2023-01-01,CPT_01,MILK,45,24.439975445336493,True,False,0
2023-01-01,CPT_01,RICE,53,13.636499344142013,True,False,0
2023-01-01,DBN_01,BREAD,41,22.233063209765618,True,False,1
2023-01-01,DBN_01,MILK,50,15.824582803960839,True,False,1
2023-01-01,DBN_01,RICE,50,10.933313264272309,True,False,0
2023-01-02,JHB_01,BREAD,47,19.12139968434072,False,False,0
2023-01-02,JHB_01,MILK,32,17.649239825343255,False,False,1
2023-01-02,JHB_01,RICE,37,10.929008254399955,False,False,1
2023-01-02,CPT_01,BREAD,36,19.00998503939086,False,False,1
2023-01-02,CPT_01,MILK,31,29.312640661491187,False,False,3
2023-01-02,CPT_01,RICE,37,10.319325044404284,False,False,0
2023-01-02,DBN_01,BREAD,19,18.803049874792027,False,False,1
2023-01-02,DBN_01,MILK,24,26.663898234723288,False,False,1
2023-01-02,DBN_01,RICE,18,15.175599632000338,False,False,3
2023-01-03,JHB_01,BREAD,24,18.503117489824895,False,False,2
2023-01-03,JHB_01,MILK,38,13.697089110510541,False,False,1
2023-01-03,JHB_01,RICE,33,28.789978831283783,False,False,2
2023-01-03,CPT_01,BREAD,41,24.54543991712842,False,False,3
2023-01-03,CPT_01,MILK,34,13.919657248382904,False,False,0
2023-01-03,CPT_01,RICE,37,26.89067697356303,False,False,3
2023-01-03,DBN_01,BREAD,32,26.57475018303859,False,False,0
2023-01-03,DBN_01,MILK,38,22.140684953733693,False,False,3
2023-01-03,DBN_01,RICE,32,26.043939615080795,False,False,0
2023-01-04,JHB_01,BREAD,20,18.468029614127392,False,False,0
2023-01-04,JHB_01,MILK,20,10.110442342472048,False,False,0
2023-01-04,JHB_01,RICE,30,24.226839054973,False,False,0
2023-01-04,CPT_01,BREAD,19,11.480893034681808,False,False,2
2023-01-04,CPT_01,MILK,24,28.299193510875615,False,False,1
2023-01-04,CPT_01,RICE,26,16.617960497052984,False,False,1
2023-01-04,DBN_01,BREAD,35,23.376825053272146,False,False,0
2023-01-04,DBN_01,MILK,21,22.751149427104263,False,False,2
2023-01-04,DBN_01,RICE,43,17.658537495075798,False,False,1
2023-01-05,JHB_01,BREAD,30,25.21570097233795,False,False,2
2023-01-05,JHB_01,MILK,45,15.121366455226479,False,False,0
2023-01-05,JHB_01,RICE,43,18.550820367170992,False,False,1
2023-01-05,CPT_01,BREAD,27,14.034384046707924,False,False,1
2023-01-05,CPT_01,MILK,24,21.26551143952767,False,False,1
2023-01-05,CPT_01,RICE,19,14.9858445829775,False,False,3
2023-01-05,DBN_01,BREAD,30,14.061224494695388,False,False,1
