date,store_id,product_id,units_sold,price,is_weekend,is_payday,load_shedding_stage,lag_7,lag_14,rolling_mean_7
2023-01-15,CPT_01,BREAD,50,14.954619790023148,True,False,1,26.0,41.0,38.0
2023-01-16,CPT_01,BREAD,42,20.78754896800125,False,False,1,44.0,36.0,37.714285714285715
2023-01-17,CPT_01,BREAD,22,23.114452707614845,False,False,0,28.0,41.0,36.857142857142854
2023-01-18,CPT_01,BREAD,24,23.59689559800492,False,False,0,36.0,19.0,35.142857142857146
2023-01-19,CPT_01,BREAD,36,25.83158087451697,False,False,2,35.0,27.0,35.285714285714285
2023-01-20,CPT_01,BREAD,36,27.26277043978008,False,False,1,44.0,47.0,34.142857142857146
2023-01-21,CPT_01,BREAD,43,17.49741159047408,True,False,3,29.0,33.0,36.142857142857146
2023-01-22,CPT_01,BREAD,33,29.008229681531176,True,False,0,50.0,26.0,33.714285714285715
2023-01-23,CPT_01,BREAD,22,18.364860725812377,False,False,1,42.0,44.0,30.857142857142858
2023-01-24,CPT_01,BREAD,21,21.70299064650944,False,False,3,22.0,28.0,30.714285714285715
2023-01-25,CPT_01,BREAD,56,12.680304569012817,False,True,1,24.0,36.0,35.285714285714285
2023-01-26,CPT_01,BREAD,50,25.378354826307948,False,True,2,36.0,35.0,37.285714285714285
2023-01-27,CPT_01,BREAD,31,16.952384289653672,False,True,0,36.0,44.0,36.57142857142857
2023-01-28,CPT_01,BREAD,45,25.199108178751715,True,False,0,43.0,29.0,36.857142857142854
2023-01-29,CPT_01,BREAD,33,23.582046382889796,True,False,1,33.0,50.0,36.857142857142854
2023-01-30,CPT_01,BREAD,30,26.11729773482287,False,False,0,22.0,42.0,38.0
2023-01-31,CPT_01,BREAD,21,20.1522075736891,False,False,1,21.0,22.0,38.0
2023-02-01,CPT_01,BREAD,37,12.13398500226872,False,False,2,56.0,24.0,35.285714285714285
2023-02-02,CPT_01,BREAD,29,26.33198878943154,False,False,0,50.0,36.0,32.285714285714285
2023-02-03,CPT_01,BREAD,24,29.953852318476866,False,False,1,31.0,36.0,31.285714285714285
2023-02-04,CPT_01,BREAD,24,15.035981178139057,True,False,1,45.0,43.0,28.285714285714285
2023-02-05,CPT_01,BREAD,29,24.72888471249445,True,False,1,33.0,33.0,27.714285714285715
2023-02-06,CPT_01,BREAD,19,19.616739561781472,False,False,1,30.0,22.0,26.142857142857142
2023-02-07,CPT_01,BREAD,24,11.34152954776855,False,False,1,21.0,21.0,26.571428571428573
2023-02-08,CPT_01,BREAD,36,18.17468342196193,False,False,1,37.0,56.0,26.428571428571427
2023-02-09,CPT_01,BREAD,41,15.862954605220263,False,False,0,29.0,50.0,28.142857142857142
2023-02-10,CPT_01,BREAD,33,25.59517549576061,False,False,3,24.0,31.0,29.428571428571427
2023-02-11,CPT_01,BREAD,30,21.083560050315867,True,False,0,24.0,45.0,30.285714285714285
